id_city;city;id_hotel;name_hotel;region;star_rating;num_reviews;hotel_features;hotel_category;price;url_image
1;Bandung;132;Kedaton Hotel;Sumurbandung, Bandung;3.0;5277.0;Karaoke, Layanan pijat, Mandi uap, Pusat kebugaran, Antar-jemput bandara, Sauna, Spa;;1481481;https://storage.googleapis.com/picture-bucket19/hotel/132.jpg
1;Bandung;176;Sari Ater Kamboti Hotel Bandung;Pasteur, Bandung;4.0;5865.0;Bayar saat Check-in, Karaoke, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar;;1037276;https://storage.googleapis.com/picture-bucket19/hotel/176.jpg
1;Bandung;236;d'primahotel Bandung;Sukajadi, Bandung;3.0;6503.0;Antar-jemput bandara;;4160000;https://storage.googleapis.com/picture-bucket19/hotel/236.jpg
1;Bandung;235;Zest Hotel Sukajadi Bandung;Sukajadi, Bandung;3.0;7151.0;Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa;;861555;https://storage.googleapis.com/picture-bucket19/hotel/235.jpg
1;Bandung;177;Sensa Hotel Bandung;Cihampelas, Bandung;4.0;3133.0;Spa;;1654667;https://storage.googleapis.com/picture-bucket19/hotel/177.jpg
1;Bandung;242;ibis Bandung Pasteur;Pasteur, Bandung;3.0;5186.0;Check-out ekspress;;923319;https://storage.googleapis.com/picture-bucket19/hotel/242.jpg
1;Bandung;37;Clove Garden Hotel & Residence;Dago, Bandung;4.0;14893.0;Aksesibel bagi penyandang disabilitas;;2135300;https://storage.googleapis.com/picture-bucket19/hotel/37.jpg
1;Bandung;190;Sukajadi Hotel, Convention and Gallery;Sukajadi, Bandung;3.0;4836.0;Tenda di tepi kolam, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Kursi berjemur tepi kolam, Pusat kebugaran;;846667;https://storage.googleapis.com/picture-bucket19/hotel/190.jpg
1;Bandung;43;De Paviljoen Bandung;Jalan Riau, Bandung;4.0;4384.0;Pengering pakaian, Dapur kecil, Pusat kebugaran;;2000000;https://storage.googleapis.com/picture-bucket19/hotel/43.jpg
1;Bandung;35;Cinnamon Hotel Boutique Syariah;Setiabudi, Bandung;4.0;1616.0;Check-out ekspress;;2868772;https://storage.googleapis.com/picture-bucket19/hotel/35.jpg
1;Bandung;72;Grand Sunshine Resort and Convention;Pamekaran, Bandung;4.0;1131.0;Badminton, Aerobik, Bar, Tennis, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;3400000;https://storage.googleapis.com/picture-bucket19/hotel/72.jpg
2;Jakarta;196;Swiss-Belinn Kemayoran;Kemayoran, Jakarta;3.0;3549.0;Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar;;822500;https://storage.googleapis.com/picture-bucket19/hotel/196.jpg
2;Jakarta;142;Mandarin Oriental Jakarta;Thamrin, Jakarta;5.0;1140.0;Winery, Pusat kebugaran, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar;;8518400;https://storage.googleapis.com/picture-bucket19/hotel/142.jpg
2;Jakarta;9;Aloft Jakarta Wahid Hasyim;Kebon Sirih, Jakarta;4.0;1002.0;Limosin/mobil, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;1863400;https://storage.googleapis.com/picture-bucket19/hotel/9.jpg
2;Jakarta;23;Ashley Tanah Abang;Tanah Abang, Jakarta;0.0;275.0;Pusat kebugaran, Antar-jemput bandara, Pusat kebugaran;;1940888;https://storage.googleapis.com/picture-bucket19/hotel/23.jpg
2;Jakarta;84;Hariston Hotel & Suites;Pluit, Jakarta;4.0;4297.0;Bar;;1428500;https://storage.googleapis.com/picture-bucket19/hotel/84.jpg
2;Jakarta;220;The St. Regis Jakarta;Kuningan, Jakarta;5.0;2.0;Tenda di tepi kolam, Paket proposal romantis, Bar di kolam renang, Payung pantai, Spa, Pusat kebugaran, Bar, OTHER;;8772500;https://storage.googleapis.com/picture-bucket19/hotel/220.jpg
2;Jakarta;19;Arimbi Pejaten Suites;Ragunan, Jakarta;3.0;2234.0;Bayar saat Check-in, Pusat kebugaran, Pusat kebugaran;;437000;https://storage.googleapis.com/picture-bucket19/hotel/19.jpg
2;Jakarta;73;Grand Tjokro Jakarta;Tanjung Duren, Jakarta;4.0;7868.0;Sewa mobil, Pusat kebugaran, Spa, Bar;;1083333;https://storage.googleapis.com/picture-bucket19/hotel/73.jpg
2;Jakarta;222;The Sultan Hotel & Residence Jakarta;Senayan, Jakarta;5.0;7247.0;Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;2391767;https://storage.googleapis.com/picture-bucket19/hotel/222.jpg
2;Jakarta;183;Shangri-La Jakarta;Karet Tengsin, Jakarta;5.0;2262.0;Akses ke water park, Toko/pusat belanja, Lapangan tennis outdoor, Bar di kolam renang, Payung pantai, Pusat kebugaran, Bar, OTHER;;5320178;https://storage.googleapis.com/picture-bucket19/hotel/183.jpg
2;Jakarta;172;Royal Kuningan Hotel;Rasuna Said, Jakarta;4.0;6678.0;Aksesibel bagi penyandang disabilitas, Check-out ekspress;;3078126;https://storage.googleapis.com/picture-bucket19/hotel/172.jpg
2;Jakarta;138;Lumire Hotel & Convention Center;Senen, Jakarta;4.0;8924.0;Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar;;1016667;https://storage.googleapis.com/picture-bucket19/hotel/138.jpg
2;Jakarta;203;Teraskita Hotel Jakarta managed by Dafam;Cawang, Jakarta;4.0;9335.0;Restoran show cooking, Layanan pijat, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar;;1940000;https://storage.googleapis.com/picture-bucket19/hotel/203.jpg
2;Jakarta;151;Millennium Hotel Sirih Jakarta;Tanah Abang, Jakarta;4.0;4969.0;Transportasi ke pusat perbelanjaan, Sewa mobil, Aksesibel bagi penyandang disabilitas;;1143853;https://storage.googleapis.com/picture-bucket19/hotel/151.jpg
2;Jakarta;186;Sheraton Grand Jakarta Gandaria City Hotel;Kebayoran Lama Utara, Jakarta;5.0;1579.0;Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;3319433;https://storage.googleapis.com/picture-bucket19/hotel/186.jpg
2;Jakarta;45;DoubleTree by Hilton Jakarta - Diponegoro;Cikini, Jakarta;5.0;3244.0;Area main anak, Klub anak, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar;;3009019;https://storage.googleapis.com/picture-bucket19/hotel/45.jpg
2;Jakarta;105;Hotel Ciputra Jakarta managed by Swiss-Belhotel International;Tanjung Duren, Jakarta;4.0;9261.0;Bayar saat Check-in, Layanan pijat, Bar di kolam renang, Pusat kebugaran, Bar;;1463000;https://storage.googleapis.com/picture-bucket19/hotel/105.jpg
2;Jakarta;31;Best Western Premier The Hive;Cawang, Jakarta;5.0;11091.0;Restoran show cooking, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Perpustakaan, Check-out ekspress, Bar;;1133333;https://storage.googleapis.com/picture-bucket19/hotel/31.jpg
2;Jakarta;10;Aloft South Jakarta;Cilandak Timur, Jakarta;4.0;467.0;Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar;;1294700;https://storage.googleapis.com/picture-bucket19/hotel/10.jpg
2;Jakarta;211;The Langham, Jakarta;Senayan, Jakarta;5.0;340.0;Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar;;7830031;https://storage.googleapis.com/picture-bucket19/hotel/211.jpg
2;Jakarta;120;Hotel Mulia Senayan, Jakarta;Senayan, Jakarta;5.0;1540.0;Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran;;5445000;https://storage.googleapis.com/picture-bucket19/hotel/120.jpg
2;Jakarta;5;ASTON Priority Simatupang & Conference Center;Kebagusan, Jakarta;4.0;7246.0;Layanan pijat, Antar-jemput bandara, Spa, Bar;;1314463;https://storage.googleapis.com/picture-bucket19/hotel/5.jpg
2;Jakarta;148;Merlynn Park Hotel;Petojo Utara, Jakarta;5.0;19249.0;Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;1550000;https://storage.googleapis.com/picture-bucket19/hotel/148.jpg
2;Jakarta;22;Ascott Sudirman Jakarta;Karet Semanggi, Jakarta;5.0;2200.0;Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran;;3658560;https://storage.googleapis.com/picture-bucket19/hotel/22.jpg
2;Jakarta;209;The Hermitage, a Tribute Portfolio Hotel, Jakarta;Menteng, Jakarta;5.0;369.0;Karaoke, Handuk pantai, Layanan pijat, Pusat kebugaran, Teras rooftop, Fasilitas bisnis, Bar di kolam renang, Bar;;4460060;https://storage.googleapis.com/picture-bucket19/hotel/209.jpg
2;Jakarta;147;Mercure Convention Center Ancol;Ancol, Jakarta;4.0;7570.0;Area main anak, Check-out ekspress;;3648333;https://storage.googleapis.com/picture-bucket19/hotel/147.jpg
2;Jakarta;104;Hotel Borobudur Jakarta;Pasar Baru, Jakarta;5.0;7103.0;Badminton, Aerobik, Winery, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;2572001;https://storage.googleapis.com/picture-bucket19/hotel/104.jpg
2;Jakarta;44;Discovery Ancol;Ancol, Jakarta;4.0;5754.0;Ruang santai, Area main anak, Klub anak, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran;;2691667;https://storage.googleapis.com/picture-bucket19/hotel/44.jpg
2;Jakarta;232;Yuan Garden Pasar Baru;Pasar Baru, Jakarta;4.0;3213.0;Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;1105333;https://storage.googleapis.com/picture-bucket19/hotel/232.jpg
2;Jakarta;119;Hotel Menara Peninsula;Slipi, Jakarta;4.0;9253.0;Kolam air panas outdoor, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar;;1006000;https://storage.googleapis.com/picture-bucket19/hotel/119.jpg
2;Jakarta;219;The Ritz-Carlton Jakarta, Pacific Place Hotel;Senayan, Jakarta;5.0;483.0;Aerobik, Winery, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar;;8167500;https://storage.googleapis.com/picture-bucket19/hotel/219.jpg
2;Jakarta;61;Grand Hyatt Jakarta;Thamrin, Jakarta;5.0;2059.0;Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar;;9377500;https://storage.googleapis.com/picture-bucket19/hotel/61.jpg
2;Jakarta;34;Century Park Hotel;Senayan, Jakarta;4.0;6830.0;Penitipan anak, Sewa mobil, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;2160000;https://storage.googleapis.com/picture-bucket19/hotel/34.jpg
2;Jakarta;65;Grand Mercure Jakarta Harmoni;Harmoni, Jakarta;5.0;1627.0;Check-out ekspress;;1402847;https://storage.googleapis.com/picture-bucket19/hotel/65.jpg
2;Jakarta;143;Manhattan Hotel Jakarta;Rasuna Said, Jakarta;5.0;8621.0;Tanda khusus bagi tuna netra, Dapur kecil, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar;;2721667;https://storage.googleapis.com/picture-bucket19/hotel/143.jpg
2;Jakarta;127;InterContinental Hotels JAKARTA PONDOK INDAH;Pondok Indah, Jakarta;5.0;1455.0;Pusat kebugaran, Bar;;5457407;https://storage.googleapis.com/picture-bucket19/hotel/127.jpg
2;Jakarta;198;Swiss-Belinn Simatupang Jakarta;Lebak Bulus, Jakarta;3.0;7329.0;Bar, Sewa mobil, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar;;976667;https://storage.googleapis.com/picture-bucket19/hotel/198.jpg
2;Jakarta;244;ibis Styles Jakarta Airport;Benda, Jakarta;3.0;4157.0;Check-out ekspress;;714141;https://storage.googleapis.com/picture-bucket19/hotel/244.jpg
2;Jakarta;114;Hotel Dharmein;Melawai, Jakarta;3.0;3116.0;Teras rooftop, Bar;;583333;https://storage.googleapis.com/picture-bucket19/hotel/114.jpg
2;Jakarta;193;Swiss-Belhotel Airport Jakarta;Benda, Jakarta;4.0;2222.0;Antar-jemput bandara;;911668;https://storage.googleapis.com/picture-bucket19/hotel/193.jpg
2;Jakarta;3;ASTON Kartika Grogol Hotel & Conference Center;Grogol, Jakarta;4.0;3896.0;Layanan pijat, Pusat kebugaran, Spa, Pusat kebugaran, Bar;;1784460;https://storage.googleapis.com/picture-bucket19/hotel/3.jpg
2;Jakarta;218;The Ritz-Carlton Jakarta, Mega Kuningan;Kuningan, Jakarta;5.0;2884.0;Restoran show cooking, Ruang santai, Bar, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;3323467;https://storage.googleapis.com/picture-bucket19/hotel/218.jpg
2;Jakarta;66;Grand Mercure Jakarta Kemayoran;Gunung Sahari, Jakarta;5.0;3438.0;Penitipan anak, Check-out ekspress;;1582680;https://storage.googleapis.com/picture-bucket19/hotel/66.jpg
2;Jakarta;200;Swiss-Belresidences Kalibata;Kalibata, Jakarta;4.0;8523.0;Aerobik, Bar, Area main anak, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;911667;https://storage.googleapis.com/picture-bucket19/hotel/200.jpg
