id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price
2,Jakarta,45,DoubleTree by Hilton Jakarta - Diponegoro,"Cikini, Jakarta",5.0,3244.0,"Area main anak, Klub anak, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",3009019
2,Jakarta,105,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,"Tanjung Duren, Jakarta",4.0,9261.0,"Bayar saat Check-in, Layanan pijat, Bar di kolam renang, Pusat kebugaran, Bar",1463000
2,Jakarta,31,Best Western Premier The Hive,"Cawang, Jakarta",5.0,11091.0,"Restoran show cooking, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Perpustakaan, Check-out ekspress, Bar",1133333
2,Jakarta,10,Aloft South Jakarta,"Cilandak Timur, Jakarta",4.0,467.0,"Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar",1294700
2,Jakarta,211,"The Langham, Jakarta","Senayan, Jakarta",5.0,340.0,"Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar",7830031
2,Jakarta,120,"Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,1540.0,"Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",5445000
2,Jakarta,5,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,7246.0,"Layanan pijat, Antar-jemput bandara, Spa, Bar",1314463
2,Jakarta,148,Merlynn Park Hotel,"Petojo Utara, Jakarta",5.0,19249.0,"Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1550000
2,Jakarta,22,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",5.0,2200.0,"Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran",3658560
2,Jakarta,209,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","Menteng, Jakarta",5.0,369.0,"Karaoke, Handuk pantai, Layanan pijat, Pusat kebugaran, Teras rooftop, Fasilitas bisnis, Bar di kolam renang, Bar",4460060
2,Jakarta,147,Mercure Convention Center Ancol,"Ancol, Jakarta",4.0,7570.0,"Area main anak, Check-out ekspress",3648333
2,Jakarta,104,Hotel Borobudur Jakarta,"Pasar Baru, Jakarta",5.0,7103.0,"Badminton, Aerobik, Winery, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2572001
2,Jakarta,44,Discovery Ancol,"Ancol, Jakarta",4.0,5754.0,"Ruang santai, Area main anak, Klub anak, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",2691667
2,Jakarta,232,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",4.0,3213.0,"Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1105333
2,Jakarta,119,Hotel Menara Peninsula,"Slipi, Jakarta",4.0,9253.0,"Kolam air panas outdoor, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",1006000
2,Jakarta,219,"The Ritz-Carlton Jakarta, Pacific Place Hotel","Senayan, Jakarta",5.0,483.0,"Aerobik, Winery, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",8167500
2,Jakarta,61,Grand Hyatt Jakarta,"Thamrin, Jakarta",5.0,2059.0,"Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar",9377500
2,Jakarta,34,Century Park Hotel,"Senayan, Jakarta",4.0,6830.0,"Penitipan anak, Sewa mobil, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2160000
2,Jakarta,65,Grand Mercure Jakarta Harmoni,"Harmoni, Jakarta",5.0,1627.0,Check-out ekspress,1402847
2,Jakarta,143,Manhattan Hotel Jakarta,"Rasuna Said, Jakarta",5.0,8621.0,"Tanda khusus bagi tuna netra, Dapur kecil, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",2721667
2,Jakarta,127,InterContinental Hotels JAKARTA PONDOK INDAH,"Pondok Indah, Jakarta",5.0,1455.0,"Pusat kebugaran, Bar",5457407
2,Jakarta,198,Swiss-Belinn Simatupang Jakarta,"Lebak Bulus, Jakarta",3.0,7329.0,"Bar, Sewa mobil, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",976667
2,Jakarta,244,ibis Styles Jakarta Airport,"Benda, Jakarta",3.0,4157.0,Check-out ekspress,714141
2,Jakarta,114,Hotel Dharmein,"Melawai, Jakarta",3.0,3116.0,"Teras rooftop, Bar",583333
2,Jakarta,193,Swiss-Belhotel Airport Jakarta,"Benda, Jakarta",4.0,2222.0,Antar-jemput bandara,911668
2,Jakarta,3,ASTON Kartika Grogol Hotel & Conference Center,"Grogol, Jakarta",4.0,3896.0,"Layanan pijat, Pusat kebugaran, Spa, Pusat kebugaran, Bar",1784460
2,Jakarta,218,"The Ritz-Carlton Jakarta, Mega Kuningan","Kuningan, Jakarta",5.0,2884.0,"Restoran show cooking, Ruang santai, Bar, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3323467
2,Jakarta,66,Grand Mercure Jakarta Kemayoran,"Gunung Sahari, Jakarta",5.0,3438.0,"Penitipan anak, Check-out ekspress",1582680
2,Jakarta,200,Swiss-Belresidences Kalibata,"Kalibata, Jakarta",4.0,8523.0,"Aerobik, Bar, Area main anak, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",911667
2,Jakarta,87,Harris Tebet Jakarta,"Manggarai Selatan, Jakarta",4.0,5101.0,"Bar, Area main anak, Layanan pijat, Pusat kebugaran, Bilyar, Sauna, Pusat kebugaran, Bar",1011000
2,Jakarta,56,Grand Dafam Ancol Jakarta,"Ancol, Jakarta",4.0,434.0,"Area main anak, Layanan pijat, Dapur kecil, Pusat kebugaran, Bilyar, Bar di kolam renang, Pusat kebugaran, Bar",1786667
2,Jakarta,88,Harris Vertu Hotel Harmoni,"Harmoni, Jakarta",5.0,3749.0,"Layanan pijat, Pusat kebugaran, Spa, Bar",1468900
2,Jakarta,178,Sentral Cawang Hotel,"Cawang, Jakarta",3.0,7369.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Bar",580500
2,Jakarta,75,Grand Tropic Suites Hotel,"Tanjung Duren, Jakarta",4.0,5554.0,"Tennis meja, Area main anak, Pusat kebugaran, Sauna, Pusat kebugaran",1223333
2,Jakarta,199,Swiss-Belinn Wahid Hasyim,"Kebon Kacang, Jakarta",3.0,895.0,"Jemputan stasiun kereta, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Bar",1160000
2,Jakarta,93,Holiday Inn Express JAKARTA WAHID HASYIM,"Kebon Kacang, Jakarta",3.0,3537.0,"Tennis, Pusat kebugaran, Bar",1568180
2,Jakarta,4,ASTON Pluit Hotel & Residence,"Pluit, Jakarta",4.0,5915.0,"Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",1068280
2,Jakarta,16,Ambhara Hotel,"Melawai, Jakarta",4.0,4857.0,Bar,968000
2,Jakarta,76,Grand Whiz Poins Simatupang Jakarta,"Lebak Bulus, Jakarta",4.0,9148.0,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran",857813
2,Jakarta,170,Redtop Hotel & Convention Center,"Pecenongan, Jakarta",4.0,4209.0,"Bayar saat Check-in, Restoran show cooking, Bar, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",1213451
2,Jakarta,47,Fairmont Jakarta,"Senayan, Jakarta",5.0,1045.0,"Penitipan anak, Check-out ekspress",6473500
2,Jakarta,122,Hotel Santika Premiere Slipi Jakarta,"Slipi, Jakarta",4.0,6308.0,Aksesibel bagi penyandang disabilitas,1316667
2,Jakarta,92,Holiday Inn Express JAKARTA PLUIT CITYGATE,"Pluit, Jakarta",3.0,5158.0,Pusat kebugaran,1055112
2,Jakarta,194,Swiss-Belhotel Pondok Indah,"Pondok Indah, Jakarta",4.0,4538.0,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar",1423333
2,Jakarta,21,Aryaduta Suite Semanggi,"Karet Semanggi, Jakarta",4.0,4882.0,"Squash, Area main anak, Tennis, Layanan pijat, Dapur kecil, Pusat kebugaran, Sauna, Bar",2400787
2,Jakarta,54,Gran Melia Jakarta,"Kuningan, Jakarta",5.0,1759.0,"Jacuzzi, Klub malam, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",2259278
2,Jakarta,136,Le Meridien Jakarta,"Sudirman, Jakarta",5.0,377.0,"Klub malam, Penitipan anak, Antar-jemput bandara, Sauna, Spa",2420000
2,Jakarta,116,Hotel Gren Alia Jakarta,"Senen, Jakarta",3.0,2906.0,Aksesibel bagi penyandang disabilitas,841667
2,Jakarta,169,Ra Suites Simatupang,"Cilandak Barat, Jakarta",5.0,68.0,"Transportasi ke pusat perbelanjaan, Winery, Jemputan stasiun kereta, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1625000
3,Semarang,227,Wimarion Hotel Semarang,"Candisari, Semarang",4.0,2494.0,"Bayar saat Check-in, Winery, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",1540000
3,Semarang,149,Metro Park View Hotel,"Semarang Tengah, Semarang",4.0,8886.0,"Bersepeda atau bersepeda gunung, Tennis meja, Area main anak, Klub anak, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1962188
3,Semarang,112,Hotel Dafam Semarang,"Semarang Tengah, Semarang",4.0,6323.0,"Tennis meja, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Jacuzzi, Spa, Pusat kebugaran, Bar",1250000
3,Semarang,162,Plaza Hotel Semarang,"Banyumanik, Semarang",3.0,2157.0,"Aktivitas outdoor, Karaoke, Area main anak, Area berpayung",496750
3,Semarang,68,Grand Panorama Hotel,"Bandungan, Semarang",1.0,1349.0,Pusat kebugaran,438000
3,Semarang,79,Gumaya Tower Hotel Semarang,"Semarang Tengah, Semarang",5.0,4521.0,"Golf mini, Restoran show cooking, Area main anak, Layanan pijat, Pusat kebugaran, Sauna, Spa, Bar",2433333
3,Semarang,11,Amanda Hills Bandungan,"Bandungan, Semarang",3.0,3052.0,"Volley, Restoran show cooking, Bersepeda atau bersepeda gunung, Tennis, Ruangan game, Lapangan tennis outdoor, Aksesibel bagi penyandang disabilitas, Check-out ekspress",708333
3,Semarang,106,Hotel Ciputra Semarang managed by Swiss-Belhotel International,"Semarang Tengah, Semarang",5.0,7507.0,"Layanan pijat, Pusat kebugaran, Spa, Bar",2181667
3,Semarang,55,Grand Candi Hotel Semarang,"Candisari, Semarang",5.0,3942.0,"Aerobik, Tennis meja, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",2700000
3,Semarang,95,Horison Kota Lama Semarang,"Semarang Timur, Semarang",3.0,4984.0,"Bar, Teras rooftop, Check-out ekspress, Bar",1104300
3,Semarang,163,Po Hotel (FKA Crowne Plaza Semarang),"Semarang Tengah, Semarang",5.0,2265.0,"Tanda khusus bagi tuna netra, Sewa mobil, Pusat kebugaran, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",25296000
3,Semarang,208,The Azana Hotel Airport Semarang,"Semarang Barat, Semarang",4.0,1094.0,"Karaoke, Teras rooftop, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar",1058148
3,Semarang,36,Citrip Hotel Simpang Lima (FKA CityOne),"Semarang Tengah, Semarang",2.0,1593.0,"Sewa mobil, Layanan pijat, Spa",822000
3,Semarang,33,Candiview Hotel Semarang,"Gajahmungkur, Semarang",2.0,4643.0,"Antar-jemput bandara, Bar",808333
