id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price,matched_name,displayName,latitude,longitude
1,Bandung,126,InterContinental Hotels BANDUNG DAGO PAKAR,"Mekarsaluyu, Bandung",5.0,4140.0,Tennis,5180328,InterContinental Hotels BANDUNG DAGO PAKAR,InterContinental Hotels BANDUNG DAGO PAKAR,-6.86674,107.641947
1,Bandung,111,Hotel Dafam Rio,"Jalan Riau, Bandung",3.0,3536.0,"Jemputan stasiun kereta, Layanan pijat, Spa",836841,Hotel Dafam Rio,Hotel Dafam Rio,-6.914218513250424,107.62925259768964
1,Bandung,89,Hemangini Hotel Bandung,"Setiabudi, Bandung",4.0,5488.0,Aksesibel bagi penyandang disabilitas,2037037,Hemangini Hotel Bandung,Hemangini Hotel Bandung,-6.880680125947302,107.59915678042604
1,Bandung,132,Kedaton Hotel,"Sumurbandung, Bandung",3.0,5277.0,"Karaoke, Layanan pijat, Mandi uap, Pusat kebugaran, Antar-jemput bandara, Sauna, Spa",1481481,Kedaton Hotel,Kedaton Hotel,-6.915518,107.60793
1,Bandung,176,Sari Ater Kamboti Hotel Bandung,"Pasteur, Bandung",4.0,5865.0,"Bayar saat Check-in, Karaoke, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",1037276,Sari Ater Kamboti Hotel Bandung,Sari Ater Kamboti Hotel Bandung,-6.88320499924914,107.5796914100647
1,Bandung,236,d'primahotel Bandung,"Sukajadi, Bandung",3.0,6503.0,Antar-jemput bandara,4160000,d'primahotel Bandung,d'primahotel Bandung,-6.886018,107.596367
1,Bandung,235,Zest Hotel Sukajadi Bandung,"Sukajadi, Bandung",3.0,7151.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",861555,Zest Hotel Sukajadi Bandung,Zest Hotel Sukajadi Bandung,-6.895187907438221,107.59748137301632
1,Bandung,177,Sensa Hotel Bandung,"Cihampelas, Bandung",4.0,3133.0,Spa,1654667,Sensa Hotel Bandung,Sensa Hotel Bandung,-6.8946953,107.6053673
1,Bandung,242,ibis Bandung Pasteur,"Pasteur, Bandung",3.0,5186.0,Check-out ekspress,923319,ibis Bandung Pasteur,ibis Bandung Pasteur,-6.899887,107.59606
1,Bandung,37,Clove Garden Hotel & Residence,"Dago, Bandung",4.0,14893.0,Aksesibel bagi penyandang disabilitas,2135300,Clove Garden Hotel & Residence,Clove Garden Hotel & Residence,-6.873058413514878,107.64264427249144
1,Bandung,190,"Sukajadi Hotel, Convention and Gallery","Sukajadi, Bandung",3.0,4836.0,"Tenda di tepi kolam, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Kursi berjemur tepi kolam, Pusat kebugaran",846667,"Sukajadi Hotel, Convention and Gallery","Sukajadi Hotel, Convention and Gallery",-6.885653,107.59695899999996
1,Bandung,43,De Paviljoen Bandung,"Jalan Riau, Bandung",4.0,4384.0,"Pengering pakaian, Dapur kecil, Pusat kebugaran",2000000,De Paviljoen Bandung,De Paviljoen Bandung,-6.905833,107.620601
1,Bandung,35,Cinnamon Hotel Boutique Syariah,"Setiabudi, Bandung",4.0,1616.0,Check-out ekspress,2868772,Cinnamon Hotel Boutique Syariah,Cinnamon Hotel Boutique Syariah,-6.858609,107.59508
1,Bandung,72,Grand Sunshine Resort and Convention,"Pamekaran, Bandung",4.0,1131.0,"Badminton, Aerobik, Bar, Tennis, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3400000,Grand Sunshine Resort and Convention,Grand Sunshine Resort and Convention,-7.0253776,107.5286853
2,Jakarta,196,Swiss-Belinn Kemayoran,"Kemayoran, Jakarta",3.0,3549.0,"Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar",822500,Swiss-Belinn Kemayoran,Swiss-Belinn Kemayoran,-6.1493974,106.850211
