id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price,url_image,rating,category,latitude,longitude
1,Bandung,50,GH Universal Hotel,"Setiabudi, Bandung",5.0,6137.0,"Area main anak, Hewan peliharaan diizinkan, Layanan pijat, Pusat kebugaran, Spa, Bar",2579710,https://storage.googleapis.com/picture-bucket19/hotel/50.jpg,1.5941087848719413,luxury,-6.850522,107.597998
1,Bandung,216,The Papandayan Hotel,"Lengkong, Bandung",5.0,5038.0,"Darts, Ruang santai, Winery, Klub anak, Bar di kolam renang, Check-out ekspress, Pusat kebugaran, Bar",2854628,https://storage.googleapis.com/picture-bucket19/hotel/216.jpg,1.3086394098394722,luxury,-6.923077,107.62379
1,Bandung,17,Apartmen The Suite Metro By Faris Bunbun,"Batununggal, Bandung",0.0,430.0,Pusat kebugaran,613000,https://storage.googleapis.com/picture-bucket19/hotel/17.jpg,0.0,budget,-6.939430971070963,107.65908479690552
1,Bandung,39,Crowne Plaza BANDUNG,"Sumurbandung, Bandung",5.0,3856.0,"Pusat kebugaran, Bar",2392896,https://storage.googleapis.com/picture-bucket19/hotel/39.jpg,1.001610473271339,luxury,-6.9171,107.6118
1,Bandung,133,Kytos Hotel,"Setiabudi, Bandung",3.0,6245.0,Teras rooftop,3316667,https://storage.googleapis.com/picture-bucket19/hotel/133.jpg,0.9732973141461894,luxury,-6.869466130274049,107.5932264513176
1,Bandung,91,Holiday Inn BANDUNG PASTEUR,"Pasteur, Bandung",4.0,5223.0,"Pusat kebugaran, Bar",1559199,https://storage.googleapis.com/picture-bucket19/hotel/91.jpg,1.0853550833809549,midrange,-6.895968,107.590679
1,Bandung,18,Apartment Gateway Cicadas by GPro,"Cibeunying, Bandung",0.0,163.0,Basket,733333,https://storage.googleapis.com/picture-bucket19/hotel/18.jpg,0.0,budget,-6.9069707,107.64497729999994
1,Bandung,243,ibis Bandung Trans Studio,"Buahbatu, Bandung",3.0,17868.0,Check-out ekspress,926667,https://storage.googleapis.com/picture-bucket19/hotel/243.jpg,2.7847680398981765,midrange,-6.926821,107.636254
1,Bandung,152,Moxy Bandung,"Dago, Bandung",3.0,1939.0,"Ruang santai, Pengering pakaian, Pusat kebugaran, Bilyar, Teras rooftop, Ruangan game, Pusat kebugaran, Bar",1411667,https://storage.googleapis.com/picture-bucket19/hotel/152.jpg,0.3021975167541171,midrange,-6.900311699999999,107.61191970000004
1,Bandung,237,eL Hotel Royale Bandung,"Merdeka, Bandung",4.0,16317.0,"Penitipan anak, Sewa mobil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas",1316667,https://storage.googleapis.com/picture-bucket19/hotel/237.jpg,3.390721595927061,midrange,-6.9158591,107.6103538
